               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  78,            0.031544,            0.019396,           0.0011402,             0.91995,             0.85661,             0.91907,             0.66496,            0.027298,            0.013543,           0.0013809,           0.0035627,           0.0035627,           0.0035627
                  79,            0.031204,            0.019002,           0.0011348,             0.91493,             0.86142,             0.91875,             0.66544,            0.027252,            0.013564,           0.0013779,            0.003457,            0.003457,            0.003457
                  80,            0.031344,            0.019142,           0.0011355,             0.91592,             0.86322,              0.9199,             0.66621,            0.027242,             0.01357,           0.0013967,           0.0033528,           0.0033528,           0.0033528
                  81,            0.030872,            0.019136,           0.0011114,             0.92462,             0.85598,             0.91901,             0.66727,            0.027255,            0.013561,           0.0013485,             0.00325,             0.00325,             0.00325
                  82,            0.031132,            0.019343,           0.0011435,             0.92294,             0.85593,             0.91921,             0.66698,            0.027261,            0.013579,           0.0013555,           0.0031488,           0.0031488,           0.0031488
                  83,            0.031097,            0.018824,           0.0011569,             0.92147,             0.85683,             0.91877,             0.66758,            0.027204,            0.013591,           0.0013609,           0.0030491,           0.0030491,           0.0030491
                  84,            0.030798,            0.018866,           0.0011079,             0.91928,             0.85691,             0.91845,             0.66744,            0.027209,            0.013609,           0.0013885,           0.0029512,           0.0029512,           0.0029512
                  85,            0.030737,            0.018683,           0.0010795,             0.92038,             0.85512,             0.91806,              0.6679,            0.027199,            0.013619,           0.0014083,            0.002855,            0.002855,            0.002855
                  86,            0.030955,            0.018928,           0.0011086,             0.92328,             0.85206,             0.91802,             0.66879,            0.027203,            0.013631,           0.0014224,           0.0027606,           0.0027606,           0.0027606
                  87,            0.030474,            0.018574,           0.0011037,             0.92066,              0.8541,             0.91789,             0.66883,            0.027238,            0.013645,           0.0014415,           0.0026681,           0.0026681,           0.0026681
                  88,            0.030549,            0.018516,           0.0010671,             0.92757,             0.84966,               0.918,             0.66912,            0.027245,            0.013667,           0.0014561,           0.0025775,           0.0025775,           0.0025775
                  89,            0.030311,            0.018499,           0.0010633,             0.92678,             0.85342,             0.91899,             0.66941,            0.027242,            0.013677,           0.0014764,           0.0024889,           0.0024889,           0.0024889
                  90,            0.030175,            0.018829,            0.001088,             0.92622,             0.85389,              0.9187,             0.66948,            0.027243,            0.013692,           0.0015067,           0.0024024,           0.0024024,           0.0024024
                  91,            0.030202,            0.018398,            0.001092,             0.92506,             0.85593,             0.91806,             0.66951,            0.027235,            0.013694,           0.0015135,            0.002318,            0.002318,            0.002318
                  92,            0.030192,            0.018193,           0.0010475,             0.91993,             0.86092,             0.91762,             0.66952,            0.027242,            0.013712,           0.0015295,           0.0022358,           0.0022358,           0.0022358
                  93,            0.030189,            0.018419,           0.0010718,             0.91971,             0.86077,             0.91744,             0.66887,             0.02724,            0.013726,           0.0015503,           0.0021558,           0.0021558,           0.0021558
