               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  54,            0.037142,             0.02842,           0.0027183,             0.89782,             0.81697,             0.88524,             0.59593,            0.031863,            0.020743,           0.0030669,           0.0083814,           0.0083814,           0.0083814
                  55,            0.037546,            0.029122,           0.0029635,             0.90316,             0.80711,             0.88602,             0.59976,            0.031795,            0.020796,           0.0032007,           0.0083235,           0.0083235,           0.0083235
                  56,            0.037437,            0.028663,           0.0027971,             0.89522,              0.8209,             0.89114,             0.60156,            0.031476,            0.020506,           0.0022938,           0.0082648,           0.0082648,           0.0082648
                  57,            0.037556,            0.029106,           0.0027708,             0.88947,             0.82145,              0.8861,             0.60011,            0.031357,            0.020496,           0.0022519,           0.0082052,           0.0082052,           0.0082052
                  58,            0.037235,            0.028834,           0.0028179,              0.8967,             0.82247,             0.88856,             0.60362,             0.03141,            0.020535,           0.0024477,            0.008145,            0.008145,            0.008145
                  59,            0.037066,            0.028968,           0.0027337,               0.897,             0.82175,             0.88842,              0.6037,            0.031588,            0.020557,           0.0026553,           0.0080839,           0.0080839,           0.0080839
                  60,            0.037297,            0.028649,           0.0028538,             0.90084,             0.81898,             0.89117,             0.60778,            0.031216,              0.0205,           0.0026368,           0.0080221,           0.0080221,           0.0080221
                  61,            0.037145,            0.028843,           0.0026757,             0.89527,             0.82347,             0.88987,             0.60512,            0.031406,            0.020494,           0.0022344,           0.0079595,           0.0079595,           0.0079595
                  62,            0.037111,            0.028492,           0.0028452,             0.89198,             0.83013,             0.89125,             0.60581,            0.031211,            0.020535,           0.0022846,           0.0078963,           0.0078963,           0.0078963
                  63,              0.0371,            0.028692,           0.0026631,             0.90574,             0.82045,             0.89123,             0.60851,            0.030976,            0.020504,           0.0029855,           0.0078323,           0.0078323,           0.0078323
                  64,            0.037511,             0.02837,           0.0027718,             0.89728,             0.82105,              0.8918,             0.60729,            0.031235,            0.020468,           0.0031707,           0.0077677,           0.0077677,           0.0077677
                  65,            0.036796,            0.028388,           0.0026779,             0.89993,             0.82556,             0.89315,             0.60875,            0.031059,            0.020478,           0.0031669,           0.0077023,           0.0077023,           0.0077023
                  66,            0.036596,             0.02854,           0.0027122,             0.89277,               0.835,             0.89339,             0.60821,            0.031022,            0.020432,           0.0022844,           0.0076364,           0.0076364,           0.0076364
                  67,            0.036749,            0.028053,           0.0026775,             0.89983,             0.82273,             0.89456,              0.6113,             0.03095,              0.0203,           0.0023879,           0.0075698,           0.0075698,           0.0075698
